region,diseases,2012,2013,2014,2015,2016
Республика Беларусь,Сифилис (все формы),4988,4472,4013,3545,2822
Республика Беларусь,Гонококковая инфекция,750,575,522,511,424
Республика Беларусь,Злокачественные новообразования,245505,249903,257680,268511,278933
Республика Беларусь,Психические расстройства,103349,105852,107039,107681,108195
Республика Беларусь,Наркомания и токсикомания,12228,12382,11816,11772,11338
Республика Беларусь,Активный туберкулез,10390,9013,7864,6859,5752
Республика Беларусь,Алкоголизм и алкогольные психозы,193450,190609,188260,184253,179565
Брестская область,Сифилис (все формы),310,267,236,201,154
Брестская область,Гонококковая инфекция,89,72,45,72,36
Брестская область,Злокачественные новообразования,30862,31821,33082,34902,36191
Брестская область,Психические расстройства,15065,14807,15505,15264,16887
Брестская область,Наркомания и токсикомания,1146,1134,1148,1220,1212
Брестская область,Активный туберкулез,1184,946,819,734,672
Брестская область,Алкоголизм и алкогольные психозы,29247,28143,27740,26508,25437
Витебская область,Сифилис (все формы),1049,842,767,663,428
Витебская область,Гонококковая инфекция,137,110,82,97,85
Витебская область,Злокачественные новообразования,31991,31719,32945,34008,35057
Витебская область,Психические расстройства,13559,13066,12939,12779,13608
Витебская область,Наркомания и токсикомания,948,907,864,1161,1236
Витебская область,Активный туберкулез,1578,1483,1289,1182,896
Витебская область,Алкоголизм и алкогольные психозы,24164,23674,23559,22878,22378
Гомельская область,Сифилис (все формы),1011,960,912,870,811
Гомельская область,Гонококковая инфекция,74,83,63,41,58
Гомельская область,Злокачественные новообразования,43608,43219,42422,43504,45317
Гомельская область,Психические расстройства,19937,19668,19715,19772,18945
Гомельская область,Наркомания и токсикомания,1670,1751,1810,1943,1854
Гомельская область,Активный туберкулез,1961,1770,1694,1512,1369
Гомельская область,Алкоголизм и алкогольные психозы,29847,30310,29980,29710,28899
Гродненская область,Сифилис (все формы),361,317,215,201,143
Гродненская область,Гонококковая инфекция,57,28,27,30,9
Гродненская область,Злокачественные новообразования,23430,23785,24844,25982,27086
Гродненская область,Психические расстройства,12224,12055,11891,11752,11776
Гродненская область,Наркомания и токсикомания,1099,1154,1156,1008,1047
Гродненская область,Активный туберкулез,1206,1087,922,806,612
Гродненская область,Алкоголизм и алкогольные психозы,28166,28110,27740,27623,26681
г. Минск,Сифилис (все формы),568,570,556,441,396
г. Минск,Гонококковая инфекция,253,142,166,176,133
г. Минск,Злокачественные новообразования,49611,52310,54857,57898,60729
г. Минск,Психические расстройства,15624,19148,19794,19985,19474
г. Минск,Наркомания и токсикомания,5108,5068,4380,3577,3454
г. Минск,Активный туберкулез,1313,1111,965,747,601
г. Минск,Алкоголизм и алкогольные психозы,28159,28008,27992,26780,26248
Минская область,Сифилис (все формы),841,734,661,573,328
Минская область,Гонококковая инфекция,73,63,115,66,85
Минская область,Злокачественные новообразования,37679,37703,39159,40632,42021
Минская область,Психические расстройства,11819,12050,12399,12222,11689
Минская область,Наркомания и токсикомания,1432,1592,1661,1893,1687
Минская область,Активный туберкулез,1519,1234,1073,944,733
Минская область,Алкоголизм и алкогольные психозы,29294,28334,27650,27928,27051
Могилевская область,Сифилис (все формы),848,782,666,596,562
Могилевская область,Гонококковая инфекция,67,77,24,29,18
Могилевская область,Злокачественные новообразования,28324,29346,30371,31585,32532
Могилевская область,Психические расстройства,15121,15058,14796,15907,15816
Могилевская область,Наркомания и токсикомания,825,776,797,970,848
Могилевская область,Активный туберкулез,1629,1382,1102,934,869
Могилевская область,Алкоголизм и алкогольные психозы,24573,24030,23599,22826,22871
